,College Name,GPA,Verbal,Quants,Writing
3158,Boston University (BU),3.77,161.0,170.0,5.0
3159,Vanderbilt University,4.0,164.0,157.0,4.5
3160,Vanderbilt University,3.76,164.0,162.0,6.0
3161,Harvard University,3.96,162.0,168.0,4.0
3162,Vanderbilt University,3.78,158.0,156.0,4.5
3163,Vanderbilt University,3.65,162.0,153.0,4.5
3164,"University Of Michigan, Ann Arbor (UMich)",3.84,170.0,169.0,5.5
3165,Harvard University,4.0,170.0,163.0,4.0
3166,"University Of Wisconsin, Madison",3.72,152.0,168.0,3.5
3167,University Of Southern California (USC),3.67,163.0,170.0,4.5
3168,Carnegie Mellon University (CMU),3.8,166.0,158.0,5.0
3169,University Of Tulsa,3.5,156.0,166.0,4.5
3170,"University Of Texas, Dallas (UT Dallas)",3.2,146.0,162.0,4.0
3171,"University Of California, San Diego (UCSD)",3.38,159.0,170.0,4.0
3172,"University Of Texas, Dallas (UT Dallas)",3.9,159.0,152.0,3.5
3173,"University Of Wisconsin, Madison",3.9,158.0,169.0,3.5
3174,Temple University,3.93,165.0,149.0,4.0
3175,"University Of California, San Diego (UCSD)",3.6,165.0,168.0,4.0
3176,"University Of California, Los Angeles (UCLA)",3.6,168.0,161.0,3.5
3177,Yale University,3.95,165.0,160.0,5.0
3178,"University Of California, San Diego (UCSD)",3.6,154.0,144.0,4.5
3179,"Indiana University, Bloomington",3.81,152.0,156.0,4.0
3180,University Of Pittsburgh,3.75,156.0,156.0,4.0
3181,"Ohio State University, Columbus (OSU)",3.62,156.0,155.0,4.5
3182,University Of Pittsburgh,3.76,157.0,167.0,4.5
3183,"University Of California, Los Angeles (UCLA)",3.88,167.0,161.0,4.5
3184,"University Of Illinois, Urbana-Champaign (UIUC)",3.88,167.0,161.0,4.5
3185,"University Of California, Los Angeles (UCLA)",3.53,162.0,168.0,4.5
3186,"University Of California, Los Angeles (UCLA)",3.97,166.0,170.0,5.0
3187,"University Of North Carolina, Chapel Hill (UNC)",3.76,164.0,158.0,4.0
3188,"University Of California, San Diego (UCSD)",3.6,161.0,169.0,3.0
3189,"University Of California, Los Angeles (UCLA)",3.91,160.0,170.0,4.0
3190,"University Of California, San Diego (UCSD)",3.52,155.0,169.0,4.5
3191,"University Of Texas, Dallas (UT Dallas)",3.7,152.0,164.0,4.0
3192,University Of Central Florida (UCF),3.54,161.0,165.0,4.0
3193,"University Of Wisconsin, Madison",3.93,155.0,168.0,4.0
3194,Columbia University,3.6,159.0,164.0,4.5
3195,Oregon State University,3.75,158.0,166.0,4.0
3196,"University Of California, San Diego (UCSD)",3.59,151.0,169.0,3.0
3197,"University Of California, San Diego (UCSD)",3.8,148.0,170.0,3.0
3198,"University Of California, San Diego (UCSD)",3.78,166.0,153.0,3.0
3199,"University Of California, San Diego (UCSD)",3.2,157.0,167.0,4.5
3200,University Of Minnesota,3.9,167.0,164.0,5.5
3201,Boston University (BU),3.9,167.0,164.0,5.5
3202,Oregon Health And Science University,3.1,161.0,153.0,4.0
3203,Oregon Health And Science University,3.1,161.0,153.0,4.0
3204,Emory University,3.48,145.0,161.0,4.0
3205,University Of Pennsylvania (UPenn),3.99,157.0,168.0,4.0
3206,Emory University,3.7,160.0,170.0,3.5
3207,University Of Pittsburgh,3.69,160.0,166.0,3.5
3208,"University Of California, Los Angeles (UCLA)",3.97,161.0,165.0,4.5
3209,"University Of Minnesota, Twin Cities (UMN)",3.74,159.0,164.0,4.5
3210,New York University (NYU),3.3,161.0,158.0,4.0
3211,Temple University,3.67,143.0,159.0,2.5
3212,University Of Pittsburgh,3.4,166.0,164.0,5.5
3213,University Of Georgia,3.99,158.0,154.0,4.5
3214,"University Of Texas, Austin (UT Austin)",3.51,153.0,167.0,3.0
3215,CSUN,3.93,162.0,149.0,3.0
3216,"California State University, Northridge",3.73,156.0,150.0,3.5
3217,"California State University, Northridge",3.9,162.0,154.0,5.0
3218,University Of Pennsylvania (UPenn),3.91,160.0,170.0,4.0
3219,University Of Bonn,1.6039999999999999,154.0,168.0,3.0
3220,University Of Pittsburgh,3.8,160.0,159.0,4.5
3221,University Of Pennsylvania (UPenn),3.74,161.0,163.0,4.0
3222,University Of Pittsburgh,3.77,161.0,170.0,5.0
3223,University Of Oxford,3.7,168.0,160.0,5.0
3224,University Of Cambridge,3.7,168.0,160.0,5.0
3225,"University Of Nebraska, Lincoln",3.5,150.0,170.0,4.0
3226,Boise State University,3.77,160.0,151.0,4.0
3227,Michigan Technological University (MTU),3.64,148.0,165.0,3.5
3228,University Of New Mexico,3.8,163.0,158.0,4.5
3229,"University Of California, San Diego (UCSD)",3.3,160.0,168.0,4.0
3230,Syracuse University,3.87,150.0,160.0,4.0
3231,Oklahoma State University,3.87,150.0,160.0,4.0
3232,York University,3.87,150.0,160.0,4.0
3233,"University Of California, San Diego (UCSD)",3.95,161.0,169.0,4.0
3234,University Of Edinburgh,3.9,162.0,152.0,5.5
3235,Kansas State University,3.05,153.0,168.0,4.0
3236,Nothwestern University,3.76,162.0,164.0,6.0
3237,"University Of Texas, Austin (UT Austin)",3.73,167.0,166.0,4.0
3238,Nothwestern University,3.6,161.0,163.0,5.5
3239,Middle Tennessee State University,4.0,156.0,152.0,4.0
3240,"University Of Michigan, Ann Arbor (UMich)",3.62,148.0,170.0,3.5
3241,DePaul University,3.36,161.0,150.0,5.0
3242,University Of Delaware,3.4,157.0,153.0,5.0
3243,"University Of Michigan, Ann Arbor (UMich)",3.69,160.0,166.0,3.5
3244,Purdue University,3.9,161.0,163.0,4.0
3245,Tufts University,2.85,161.0,152.0,4.5
3246,Emory University,3.77,161.0,170.0,5.0
3247,Emory University,3.8,160.0,159.0,4.5
3248,"University Of Texas, Austin (UT Austin)",3.77,158.0,170.0,3.5
3249,"University Of Illinois, Urbana-Champaign (UIUC)",3.7,155.0,160.0,4.0
3250,"University Of California, Los Angeles (UCLA)",3.8,166.0,164.0,5.5
3251,"University Of Michigan, Ann Arbor (UMich)",3.77,170.0,164.0,5.0
3252,University Of Toronto (UofT),3.87,170.0,155.0,5.0
3253,"University Of Washington, Seattle (UW)",3.8,157.0,165.0,5.0
3254,Eastern Michigan University,2.8,162.0,158.0,4.0
3255,University College London,3.56,162.0,165.0,4.5
3256,University Of Edinburgh,3.9,162.0,152.0,5.5
3257,"University Of Florida, Gainesville (UFL)",3.33,150.0,147.0,4.0
3258,Columbia University,3.91,160.0,170.0,4.0
3259,North Caroline State University (NCSU),3.96,164.0,165.0,5.0
3260,North Caroline State University (NCSU),3.6,165.0,159.0,3.5
3261,University Of Georgia,3.35,161.0,154.0,4.0
3262,Oregon State University,3.48,155.0,150.0,5.0
3263,Australian National University (ANU),3.6,155.0,147.0,4.5
3264,University Of Virginia (UVA),3.83,150.0,147.0,3.0
3265,George Washington University (GWU),3.56,159.0,153.0,4.0
3266,Boston University (BU),3.8,160.0,159.0,4.5
3267,Purdue University,3.9,163.0,161.0,4.0
3268,Northeastern University,3.87,154.0,168.0,3.5
3269,Emory University,3.6,166.0,156.0,4.5
3270,University Of Pennsylvania (UPenn),3.7,164.0,167.0,4.0
3271,University Of Pennsylvania (UPenn),3.9,159.0,168.0,4.5
3272,University Of Pennsylvania (UPenn),3.52,155.0,169.0,4.5
3273,University Of Pennsylvania (UPenn),3.95,167.0,170.0,4.5
3274,University Of Pennsylvania (UPenn),3.84,157.0,169.0,4.0
3275,University Of Pennsylvania (UPenn),3.9,159.0,168.0,4.5
3276,University Of Pennsylvania (UPenn),3.68,163.0,167.0,5.0
3277,George Washington University (GWU),3.3,167.0,158.0,4.5
3278,University Of Southern California (USC),3.53,165.0,163.0,6.0
3279,University Of Pennsylvania (UPenn),3.7,156.0,161.0,4.0
3280,University Of Pennsylvania (UPenn),3.94,161.0,168.0,4.0
3281,Western Michigan University,2.8,162.0,158.0,4.0
3282,University Of Southern California (USC),3.62,160.0,165.0,5.5
3283,Oregon State University,3.95,165.0,160.0,5.0
3284,University Of Pennsylvania (UPenn),3.75,161.0,160.0,5.0
3285,Nothwestern University,3.75,161.0,160.0,5.0
3286,Ohio State University (OSU),3.74,157.0,163.0,4.5
3287,Kent State University,3.95,162.0,170.0,4.0
3288,"University Of Michigan, Ann Arbor (UMich)",3.58,168.0,167.0,5.0
3289,University Of Georgia,3.3,163.0,147.0,4.5
3290,George Washington University (GWU),3.66,166.0,160.0,5.5
3291,"University Of California, Los Angeles (UCLA)",3.34,158.0,168.0,4.5
3292,SUNY Oswego,3.03,144.0,161.0,2.5
3293,"Washington University, St. Louis (WUSTL)",3.3,160.0,166.0,4.0
3294,University Of Central Florida (UCF),3.03,144.0,161.0,2.5
3295,Tulane University,3.46,149.0,148.0,3.5
3296,"University Of California, Los Angeles (UCLA)",3.62,157.0,161.0,4.0
3297,Vanderbilt University,4.0,152.0,156.0,4.0
3298,Emory University,3.51,166.0,157.0,5.0
3299,Boston University (BU),3.2,156.0,164.0,5.5
3300,University Of Nottingham,3.56,162.0,165.0,4.5
3301,TU Munich,3.2,156.0,152.0,3.5
3302,"Ohio State University, Columbus (OSU)",3.9,157.0,150.0,5.5
3303,University Of Pittsburgh,3.7,158.0,156.0,5.0
3304,University Of North Texas,3.15,157.0,156.0,3.5
3305,Ohio State University (OSU),3.85,151.0,156.0,3.5
3306,Ohio State University (OSU),3.85,151.0,156.0,3.5
3307,"University Of Washington, Seattle (UW)",3.2,161.0,162.0,4.5
3308,"University Of Minnesota, Twin Cities (UMN)",3.73,161.0,166.0,3.5
3309,University Of Washington - Evans School Of Public Affairs,3.42,157.0,155.0,4.5
3310,"University Of Washington, Seattle (UW)",3.29,162.0,157.0,3.5
3311,Montana State University,3.3,159.0,160.0,4.5
3312,TU Delft,3.82,152.0,170.0,4.5
3313,New York University (NYU),3.99,154.0,155.0,5.0
3314,University College London,3.53,150.0,170.0,3.5
3315,Emory University,3.47,169.0,156.0,5.0
3316,University Of Cambridge,3.83,162.0,168.0,5.0
3317,Emory University,3.2,164.0,156.0,5.5
3318,Saint Louis University,3.95,165.0,160.0,5.0
3319,Georgia Southern University,3.46,149.0,148.0,3.5
3320,George Washington University (GWU),3.8,160.0,159.0,4.5
3321,"University Of Minnesota, Twin Cities (UMN)",3.6,166.0,156.0,4.5
3322,"University Of Michigan, Ann Arbor (UMich)",3.91,162.0,170.0,4.5
3323,Ohio State University (OSU),3.0,156.0,152.0,5.0
3324,University Of Minnesota,3.0,156.0,152.0,5.0
3325,Boston University (BU),3.68,160.0,153.0,5.0
3326,University Of Pittsburgh,3.68,160.0,153.0,5.0
3327,New York University (NYU),3.93,161.0,157.0,4.5
3328,University Of Tennessee,4.0,156.0,152.0,4.0
3329,"University Of Minnesota, Twin Cities (UMN)",3.6,163.0,164.0,5.0
3330,Boston University (BU),3.64,160.0,157.0,5.5
3331,Columbia University,3.23,150.0,155.0,3.0
3332,Boston University (BU),3.95,165.0,160.0,5.0
3333,University Of Pittsburgh,3.8,160.0,159.0,4.5
3334,University Of Pittsburgh,3.8,160.0,159.0,4.5
3335,"University Of Florida, Gainesville (UFL)",3.75,165.0,158.0,5.5
3336,Boston University (BU),3.78,160.0,156.0,4.5
3337,Florida State University (FSU),3.9,157.0,150.0,5.5
3338,Boston University (BU),3.4,157.0,156.0,4.0
3339,Boston University (BU),3.48,158.0,163.0,3.5
3340,Boston University (BU),3.8,161.0,159.0,5.0
3341,University Of South Carolina,4.0,164.0,157.0,4.5
3342,Florida State University (FSU),4.0,164.0,157.0,4.5
3343,Boston University (BU),3.13,157.0,156.0,3.5
3344,Georgetown University,3.73,154.0,146.0,5.0
3345,Brown University,3.58,169.0,168.0,5.0
3346,"University Of Texas, Austin (UT Austin)",3.78,160.0,156.0,4.5
3347,"Washington University, St. Louis (WUSTL)",3.75,165.0,158.0,5.0
3348,University Of Pittsburgh,3.75,165.0,158.0,5.5
3349,"University Of Michigan, Ann Arbor (UMich)",3.56,170.0,163.0,4.0
3350,Portland State University,3.51,166.0,157.0,5.0
3351,University Of Chicago (UChicago),3.23,156.0,158.0,4.0
3352,"University Of Illinois, Chicago (UIC)",3.81,154.0,148.0,3.0
3353,Ohio State University (OSU),3.47,169.0,156.0,5.0
3354,Tufts University,3.4,157.0,156.0,4.0
3355,"University Of Texas, Dallas (UT Dallas)",3.1,146.0,167.0,3.0
3356,"University Of California, Los Angeles (UCLA)",3.87,164.0,162.0,5.0
3357,"University Of Illinois, Chicago (UIC)",3.76,146.0,170.0,3.0
3358,University Of Texas Health Science Center,3.32,155.0,164.0,5.0
3359,New York University (NYU),3.83,161.0,167.0,5.0
3360,"University Of Texas, Houston (UT Houston)",3.34,161.0,163.0,5.0
3361,University Of Georgia,3.8,161.0,159.0,5.0
3362,"University Of Michigan, Ann Arbor (UMich)",3.51,166.0,157.0,5.0
3363,Johns Hopkins University (JHU),3.9,160.0,157.0,3.0
3364,University Of South Carolina,3.63,161.0,168.0,4.0
3365,University Of Pittsburgh,3.8,158.0,154.0,4.5
3366,University Of South Dakota,3.62,159.0,153.0,4.0
3367,American University,3.99,154.0,155.0,5.0
3368,University Of Central Florida (UCF),3.4,150.0,142.0,4.0
3369,University Of Central Florida (UCF),3.7,157.0,154.0,4.0
3370,"Indiana University, Bloomington",3.72,165.0,149.0,6.0
3371,University Of Cambridge,4.0,170.0,153.0,5.5
3372,University Of Central Florida (UCF),3.8,159.0,151.0,4.5
3373,University Of British Columbia (UBC),3.64,153.0,156.0,3.5
3374,"University Of North Carolina, Chapel Hill (UNC)",3.61,160.0,154.0,4.5
3375,University Of Pittsburgh,3.51,166.0,157.0,5.0
3376,University Of Houston,3.0,152.0,166.0,3.5
3377,"Texas A&M University, College Station (TAMU)",3.6,165.0,169.0,5.5
3378,Tennessee State University,3.69,154.0,152.0,4.0
3379,Tennessee State University,3.69,152.0,154.0,4.0
3380,SUNY Buffalo,3.35,155.0,162.0,3.5
3381,University Of Chicago (UChicago),3.36,160.0,167.0,4.5
3382,Georgia State University (GSU),3.59,156.0,147.0,4.0
3383,Appalachian State University,3.6,159.0,152.0,4.0
3384,Appalachian State University,3.61,159.0,153.0,4.0
3385,"University Of Illinois, Urbana-Champaign (UIUC)",3.45,153.0,164.0,4.5
3386,Southeastern Louisiana University,3.3,156.0,149.0,3.5
3387,University Of Edinburgh,3.4,157.0,153.0,5.0
3388,Eastern Michigan University,3.52,153.0,142.0,4.0
3389,Grand Valley State University,3.59,147.0,144.0,4.0
3390,New York University (NYU),3.5,158.0,158.0,4.5
3391,Eastern New Mexico University,3.4,149.0,147.0,3.5
3392,"University Of Illinois, Urbana-Champaign (UIUC)",3.62,154.0,156.0,4.0
3393,Middle Tennessee State University,3.75,153.0,156.0,4.5
3394,University Of Southern California (USC),3.52,151.0,163.0,3.0
3395,University Of South Florida (USF),3.6,155.0,144.0,4.0
3396,"University Of Florida, Gainesville (UFL)",3.52,140.0,165.0,3.5
3397,University Of Alberta,1.8760000000000001,149.0,169.0,4.0
3398,TU Munich,4.0,149.0,162.0,3.5
3399,"University Of Texas, Austin (UT Austin)",3.68,163.0,165.0,3.5
3400,"California State University, Fresno",3.97,146.0,147.0,3.5
3401,Clemson University,3.52,151.0,163.0,3.0
3402,Grand Valley State University,3.6,147.0,144.0,4.0
3403,Grand Valley State University,3.3,147.0,145.0,3.0
3404,University Of South Carolina,3.48,155.0,144.0,4.0
3405,Arizona State University (ASU),3.33,149.0,149.0,3.5
3406,University Of Southern California (USC),3.56,152.0,161.0,3.0
3407,University Of South Florida (USF),3.48,155.0,144.0,4.0
3408,University Of Kentucky,3.67,145.0,146.0,4.0
3409,"University Of Maryland, College Park (UMD)",3.4,154.0,160.0,3.5
3410,University Of Sydney,3.3,151.0,160.0,3.5
3411,"University Of Florida, Gainesville (UFL)",3.3,158.0,153.0,5.0
3412,University Of Southern California (USC),3.3,158.0,153.0,5.0
3413,Drexel University,3.3,155.0,150.0,3.0
3414,University Of Colombo,3.1,150.0,150.0,3.0
3415,Colorado State University (CSU),3.73,150.0,163.0,3.5
3416,Brown University,3.5,155.0,154.0,4.5
3417,Yale University,3.43,169.0,170.0,6.0
3418,Michigan State University (MSU),3.3,164.0,157.0,4.5
3419,La Salle University,3.72,150.0,153.0,4.0
3420,Thomas Jefferson University,3.0,152.0,161.0,4.0
3421,University Of Rhode Island,2.4,155.0,161.0,3.5
3422,Drexel University,2.76,148.0,160.0,4.0
3423,William Paterson University,3.95,155.0,153.0,4.0
3424,Santa Clara University,2.74,157.0,151.0,4.5
3425,Duke University,3.0,157.0,154.0,4.0
3426,Jacksonville University,3.8,163.0,152.0,4.5
3427,Rutgers University,3.52,162.0,170.0,5.0
3428,University Of Southern California (USC),3.61,163.0,166.0,3.5
3429,Rutgers University,3.2,151.0,167.0,3.0
3430,University Of Cambridge,4.0,154.0,170.0,4.0
3431,Radford University,3.53,148.0,148.0,4.5
3432,University Of Chicago (UChicago),3.65,161.0,161.0,5.0
3433,King Abdullah University Of Science And Technology (KAUST),3.83,143.0,170.0,3.0
3434,Arizona State University (ASU),3.05,154.0,162.0,3.5
3435,University College London,3.57,169.0,160.0,4.5
3436,"University Of Florida, Gainesville (UFL)",3.48,155.0,144.0,4.0
3437,Hampton University,3.6,146.0,139.0,4.0
3438,Boston University (BU),2.85,139.0,161.0,3.0
3439,Washington State University (WSU),2.85,139.0,161.0,3.0
3440,Purdue University,3.51,155.0,165.0,3.0
3441,San Francisco State University (SFSU),3.0,146.0,158.0,3.0
3442,Midwestern University,3.75,147.0,141.0,5.0
3443,"University Of Washington, Seattle (UW)",3.35,142.0,147.0,4.0
3444,Marquette University,2.96,163.0,165.0,4.0
3445,"University Of California, Irvine (UCI)",3.13,157.0,158.0,5.0
3446,Hofstra University,3.2,154.0,147.0,4.0
3447,University Of Houston,3.1,160.0,168.0,3.5
3448,University Of Southern California (USC),3.64,152.0,158.0,3.0
3449,Virginia Tech,3.57,168.0,170.0,4.0
3450,Sam Houston State University,3.29,151.0,155.0,3.0
3451,"University Of Louisiana, Lafayette",3.1,160.0,168.0,3.5
3452,Rutgers University,3.97,160.0,148.0,4.5
3453,University Of Southern California (USC),3.5,149.0,166.0,3.0
3454,University Of Southern California (USC),3.8,149.0,158.0,3.5
3455,Rutgers University,3.4,149.0,167.0,4.0
3456,University Of Southern California (USC),3.3,150.0,166.0,3.0
3457,Louisiana State University,3.64,155.0,162.0,4.0
3458,North Caroline State University (NCSU),3.9,161.0,150.0,4.0
3459,University Of North Texas,3.12,159.0,147.0,5.0
3460,Central Michigan University,3.2,150.0,151.0,3.0
3461,"University Of Arkansas, Fayetteville",3.2,149.0,156.0,3.5
3462,Radford University,3.78,149.0,143.0,4.5
3463,"Texas A&M University, College Station (TAMU)",3.3,162.0,168.0,3.5
3464,University Of Tulsa,2.89,142.0,159.0,2.5
3465,Northeastern University,3.7,149.0,158.0,3.5
3466,McMaster University,3.26,152.0,166.0,3.0
3467,University Of Southern California (USC),3.8,164.0,147.0,3.5
3468,"Texas A&M University, College Station (TAMU)",3.5,154.0,168.0,3.5
3469,Columbia University,3.3,159.0,163.0,4.0
3470,Rice University,3.7,158.0,160.0,4.0
3471,University Of Southern California (USC),3.3,154.0,167.0,4.5
3472,George Mason University (GMU),3.75,156.0,149.0,4.5
3473,Rice University,3.016,150.0,166.0,4.0
3474,University Of Southern California (USC),3.56,151.0,157.0,4.0
3475,"University Of Minnesota, Twin Cities (UMN)",3.89,151.0,163.0,3.5
3476,Wichita State University,2.5,144.0,169.0,3.0
3477,Emory University,3.4,165.0,152.0,4.5
3478,Grand Valley State University,3.7,159.0,150.0,4.5
3479,Purdue University,3.42,147.0,152.0,3.5
3480,Boston University (BU),3.4,165.0,152.0,4.5
3481,Nothwestern University,3.0,160.0,162.0,3.5
3482,"University Of Texas, Arlington",3.89,153.0,155.0,3.0
3483,Central European University,3.54,150.0,156.0,3.5
3484,New York University (NYU),3.67,167.0,163.0,5.5
3485,St. Ambrose University,3.3,147.0,143.0,4.5
3486,La Salle University,3.57,154.0,159.0,4.5
3487,Brown University,2.76,148.0,160.0,4.0
3488,Valdosta State University,4.0,169.0,147.0,5.5
3489,"University Of Washington, Seattle (UW)",3.51,161.0,154.0,4.5
3490,Northeastern University,3.2,149.0,168.0,3.5
3491,Northeastern University,3.2,149.0,168.0,3.5
3492,University Of Cincinnati,3.27,152.0,166.0,3.5
3493,"California State University, Long Beach",3.92,142.0,150.0,4.0
3494,Marywood University,3.92,142.0,150.0,4.0
3495,Seton Hall University,3.92,142.0,150.0,4.0
3496,Louisiana Tech University,3.92,142.0,150.0,4.0
3497,Nothwestern University,3.22,143.0,170.0,3.0
3498,University Of British Columbia (UBC),3.1,160.0,168.0,3.5
3499,Jackson State University,2.9,160.0,152.0,6.0
3500,North Carolina Central University,3.45,149.0,153.0,4.0
3501,Columbia University,3.87,161.0,148.0,5.5
3502,"University Of Michigan, Ann Arbor (UMich)",3.52,145.0,165.0,3.0
3503,"University Of Texas, Dallas (UT Dallas)",3.49,157.0,163.0,4.0
3504,"University Of California, Los Angeles (UCLA)",3.7,151.0,167.0,3.5
3505,San Francisco State University (SFSU),2.89,156.0,150.0,4.5
3506,University Of Utah (UoU),3.8,153.0,155.0,4.5
3507,American University,3.6,146.0,154.0,5.4
3508,"University Of Maryland, College Park (UMD)",3.02,158.0,163.0,4.0
3509,University Of New Hampshire,3.68,159.0,156.0,5.5
3510,Michigan Technological University (MTU),3.5,147.0,170.0,3.0
3511,Kansas State University,3.21,158.0,164.0,3.5
3512,George Washington University (GWU),3.8,152.0,159.0,5.0
3513,Northern Illinois University,3.97,165.0,159.0,5.0
3514,University Of Houston,3.2,155.0,146.0,4.0
3515,Arizona State University (ASU),3.94,156.0,162.0,4.0
3516,"Indiana University, Bloomington",3.43,152.0,156.0,3.0
3517,Rush University,3.5,155.0,158.0,4.0
3518,San Francisco State University (SFSU),3.46,167.0,154.0,4.5
3519,TU Munich,3.68,170.0,152.0,4.0
3520,TU Munich,3.88,157.0,170.0,4.0
3521,"University Of Hawaii, Manoa",3.56,156.0,143.0,4.0
3522,Minot State University,3.79,156.0,144.0,4.5
3523,Western Kentucky University,3.74,162.0,144.0,4.0
3524,"University Of Illinois, Chicago (UIC)",3.3,165.0,164.0,4.0
3525,University Of Oxford,3.5,164.0,158.0,5.0
3526,University Of Cincinnati,3.51,150.0,153.0,4.0
3527,Purdue University,3.55,148.0,165.0,3.5
3528,Northwestern University,3.0,148.0,167.0,3.5
3529,Purdue University,3.44,158.0,170.0,4.5
3530,Seton Hall University,3.97,161.0,155.0,4.0
3531,University Of Northern Colorado,3.66,168.0,158.0,4.5
3532,Marshall University,3.59,148.0,154.0,4.5
3533,Northeastern University,3.42,155.0,170.0,3.0
3534,George Washington University (GWU),3.42,155.0,170.0,3.0
3535,Drexel University,3.42,155.0,170.0,3.0
3536,New York University (NYU),3.42,155.0,170.0,3.0
3537,"Texas A&M University, College Station (TAMU)",3.4,152.0,161.0,3.0
3538,University Of Southern California (USC),3.6,168.0,145.0,3.0
3539,Hofstra University,3.4,155.0,155.0,4.0
3540,Hofstra University,3.4,155.0,155.0,4.0
3541,Hofstra University,3.4,155.0,155.0,4.0
3542,"California State University, Fullerton",3.5,153.0,152.0,5.0
3543,"California State University, Long Beach",3.6,153.0,152.0,5.0
3544,"Ohio University, Athens",3.8,148.0,149.0,4.5
3545,Columbia University,3.1,163.0,157.0,4.0
3546,San Diego State University (SDSU),4.0,157.0,152.0,4.0
3547,Western Michigan University,3.56,148.0,150.0,4.0
3548,Arizona State University (ASU),3.5,161.0,149.0,4.5
3549,Johns Hopkins University (JHU),3.6,162.0,164.0,4.5
3550,Hofstra University,3.7,147.0,142.0,3.5
3551,Temple University,3.72,155.0,150.0,4.0
3552,New Mexico State University,3.8,153.0,149.0,3.5
3553,Cleveland State University,3.66,153.0,152.0,4.5
3554,North Caroline State University (NCSU),3.75,154.0,155.0,4.0
3555,New York University (NYU),3.5,155.0,156.0,4.0
3556,"University Of California, Los Angeles (UCLA)",3.7,170.0,153.0,3.0
3557,New York University (NYU),3.91,153.0,166.0,4.0
3558,"University Of Florida, Gainesville (UFL)",3.7,156.0,166.0,3.5
3559,University Of North Texas,3.65,153.0,152.0,4.5
3560,"University Of Minnesota, Twin Cities (UMN)",3.12,159.0,147.0,5.0
3561,Columbia University,3.3,164.0,155.0,5.0
3562,University Of New Mexico,3.8,148.0,157.0,4.5
3563,Clemson University,3.5,146.0,163.0,3.5
3564,Appalachian State University,3.84,150.0,142.0,4.0
3565,University Of New Mexico,3.87,150.0,151.0,5.5
3566,University Of Southern California (USC),3.6,154.0,166.0,3.5
3567,University Of Cincinnati,3.7,151.0,162.0,3.0
3568,Michigan Tech University,3.7,151.0,162.0,3.0
3569,University Of Tulsa,3.9,156.0,165.0,3.0
3570,"University Of California, Los Angeles (UCLA)",3.25,147.0,159.0,4.0
3571,"University Of Washington, Seattle (UW)",3.65,157.0,167.0,3.5
3572,Salus University,3.6,153.0,148.0,4.0
3573,Drexel University,3.96,160.0,154.0,5.0
3574,Rush University,3.46,157.0,152.0,4.5
3575,University Of Cincinnati,3.5,149.0,148.0,5.0
3576,Washington State University (WSU),3.89,154.0,150.0,4.0
3577,Florida State University (FSU),3.5,158.0,167.0,4.0
3578,Georgia State University (GSU),3.63,148.0,157.0,4.0
3579,University Of British Columbia (UBC),3.3,161.0,155.0,3.5
3580,Seton Hall University,3.94,155.0,153.0,4.0
3581,Bloomsburg University,3.82,152.0,152.0,4.0
3582,"University Of California, Irvine (UCI)",3.71,152.0,160.0,3.0
3583,University Of The District Of Columbia,3.6,152.0,153.0,4.0
3584,New York University (NYU),3.6,166.0,163.0,5.0
3585,University Of Pennsylvania (UPenn),3.07,162.0,157.0,5.0
3586,University Of Mississippi,3.71,158.0,154.0,4.0
3587,East Carolina University,3.73,149.0,150.0,4.0
3588,St. Xavier University,3.46,153.0,150.0,4.0
3589,"California State University, Long Beach",3.81,152.0,152.0,4.0
3590,San Jose State University (SJSU),3.81,152.0,152.0,4.0
3591,"University Of Washington, Seattle (UW)",3.1,149.0,161.0,3.5
3592,Syracuse University,3.33,152.0,145.0,4.5
3593,"University Of North Carolina, Greensboro",3.93,155.0,150.0,4.0
3594,University Of Southern California (USC),3.34,149.0,156.0,4.5
3595,"University Of North Carolina, Greensboro",3.6,160.0,151.0,4.0
3596,University Of Virginia (UVA),3.33,154.0,168.0,3.5
3597,Case Western Reserve University (CWRU),3.33,154.0,168.0,3.5
3598,North Caroline State University (NCSU),2.8,162.0,154.0,4.0
3599,University Of Cincinnati,3.44,153.0,165.0,3.0
3600,Carnegie Mellon University (CMU),3.44,153.0,165.0,3.0
3601,Indiana University Of Pennsylvania,3.79,149.0,151.0,4.0
3602,"California State University, Northridge",3.95,159.0,145.0,5.0
3603,University Of Akron,3.5,155.0,153.0,4.0
3604,Rutgers University,3.55,149.0,163.0,3.0
3605,University Of The District Of Columbia,3.4,152.0,150.0,4.5
3606,University Of New Mexico,3.9,156.0,159.0,5.0
3607,University Of Central Florida (UCF),3.72,148.0,150.0,4.0
3608,Columbia University,3.69,167.0,163.0,5.5
3609,San Diego State University (SDSU),3.76,151.0,150.0,5.0
3610,Georgia State University (GSU),3.67,150.0,156.0,3.0
3611,University Of Virginia (UVA),3.17,165.0,160.0,4.0
3612,George Mason University (GMU),3.85,165.0,150.0,5.5
3613,Arizona State University (ASU),3.23,162.0,162.0,4.0
3614,Nothwestern University,3.95,152.0,150.0,5.0
3615,"University Of North Carolina, Chapel Hill (UNC)",4.0,165.0,155.0,4.0
3616,Jackson State University,2.77,152.0,151.0,3.5
3617,University Of Central Florida (UCF),3.71,147.0,140.0,5.0
3618,University Of Tulsa,3.5,149.0,161.0,3.5
3619,University Of Kentucky,3.47,154.0,158.0,3.0
