,College Name,GPA,Verbal,Quants,Writing
107,Eastern New Mexico University,3.47,143.0,148.0,5.0
108,University Of Birmingham,4.0,163.0,152.0,5.0
109,University Of Birmingham,4.0,163.0,152.0,5.0
110,University Of Cincinnati,3.61,163.0,161.0,4.5
111,St. Xavier University,3.8,148.0,152.0,5.0
112,"University Of Florida, Gainesville (UFL)",3.9,153.0,167.0,4.0
113,Tennessee State University,3.86,148.0,144.0,4.0
114,University Of Southern California (USC),3.9,160.0,166.0,4.5
115,Idaho State University,3.8,147.0,153.0,4.5
116,Idaho State University,3.8,147.0,153.0,4.5
117,University Of Toronto (UofT),3.86,162.0,168.0,3.0
118,California State University (CSULA),3.77,151.0,154.0,4.5
119,Purdue University,3.52,156.0,164.0,4.0
120,University Of Southern California (USC),3.6,153.0,164.0,3.5
121,University Of Southern California (USC),3.7,151.0,168.0,3.5
122,University Of Rochester,3.61,163.0,161.0,4.5
123,University Of Southern California (USC),3.29,148.0,168.0,3.0
124,Cornell University,3.37,163.0,150.0,3.0
125,"University Of Minnesota, Twin Cities (UMN)",3.2,170.0,165.0,4.0
126,"University Of Florida, Gainesville (UFL)",3.7,146.0,167.0,3.0
127,SUNY Buffalo,3.7,146.0,167.0,3.0
128,"University Of California, San Diego (UCSD)",3.7,146.0,167.0,3.0
129,University Of Redlands,1.72,148.0,152.0,4.0
130,NOVA Southeastern University,3.1,146.0,147.0,4.0
131,Jackson State University,3.7,146.0,148.0,3.5
132,Winthrop University,2.1,150.0,147.0,4.0
133,University Of Southern California (USC),3.9,158.0,154.0,5.0
134,"University Of California, Davis (UCD)",3.3,161.0,158.0,4.5
135,University Of Southern California (USC),3.15,156.0,158.0,4.0
136,University Of Southern California (USC),3.15,156.0,158.0,4.0
137,Central European University,3.53,156.0,163.0,3.5
138,"University Of Maryland, Baltimore County (UMBC)",3.6,159.0,164.0,3.5
139,Spalding University,3.62,153.0,149.0,4.0
140,Iowa State University (ISU),3.62,154.0,161.0,3.0
141,University Of Houston,3.55,151.0,167.0,3.0
142,Boston University (BU),3.14,163.0,149.0,4.5
143,"University Of Louisiana, Lafayette",3.18,160.0,160.0,3.0
144,George Mason University (GMU),3.3,143.0,160.0,3.0
145,"University Of Florida, Gainesville (UFL)",3.45,146.0,167.0,3.5
146,University Of Mississippi,3.47,155.0,151.0,4.0
147,"University Of Washington, Seattle (UW)",3.48,159.0,154.0,4.5
148,University Of Southern California (USC),3.6,161.0,168.0,3.5
149,University Of Southern California (USC),3.6,161.0,168.0,3.5
150,Loyola University,3.63,152.0,140.0,3.5
151,Nothwestern University,3.55,152.0,161.0,4.0
152,SUNY Albany,3.0,151.0,157.0,2.5
153,Nothwestern University,3.65,157.0,164.0,3.5
154,Nothwestern University,2.44,161.0,163.0,4.0
155,Northwestern State University,4.0,160.0,155.0,5.0
156,Nothwestern University,3.25,152.0,170.0,4.0
157,"California State University, Northridge",3.72,159.0,165.0,5.0
158,"California State University, Long Beach",3.8,151.0,161.0,3.5
159,University Of Pennsylvania (UPenn),3.6,165.0,164.0,4.0
160,Florida Atlantic University,3.3,155.0,165.0,3.5
161,University Of Pennsylvania (UPenn),4.0,156.0,167.0,4.0
162,University Of Pittsburgh,3.78,155.0,157.0,4.0
163,University Of Tulsa,3.2,157.0,167.0,4.0
164,University Of Pennsylvania (UPenn),3.72,162.0,167.0,4.0
165,San Diego State University (SDSU),3.45,161.0,157.0,3.5
166,"University Of Minnesota, Twin Cities (UMN)",3.67,154.0,164.0,3.0
167,University Of Memphis,3.8,154.0,157.0,4.0
168,Armstrong Atlantic State University,3.7,150.0,150.0,4.0
169,University Of Houston,3.3,158.0,154.0,4.0
170,Duke University,3.56,152.0,157.0,4.0
171,University Of Pennsylvania (UPenn),3.3,164.0,166.0,5.5
172,Georgetown University,3.14,162.0,144.0,5.0
173,"University Of Louisiana, Lafayette",3.56,159.0,161.0,3.5
174,George Mason University (GMU),3.2,148.0,156.0,4.0
175,Armstrong State University,3.53,167.0,159.0,4.0
176,Georgia State University (GSU),3.9,152.0,140.0,4.0
177,New York University (NYU),3.6,166.0,152.0,3.0
178,Boston University (BU),3.0,150.0,142.0,4.0
179,"University Of Texas, Dallas (UT Dallas)",3.38,156.0,163.0,5.0
180,"University Of Washington, Seattle (UW)",3.76,162.0,161.0,4.5
181,Cleveland State University,3.66,149.0,147.0,4.5
