,College Name,GPA,Verbal,Quants,Writing,Cluster
91,Cornell University,3.625387755102041,159.74149659863946,162.04761904761904,4.034013605442177,0
92,"Cranfield University, UK",3.6,158.0,166.0,4.5,0
93,Curry School Of Education - University Of Virginia,3.45,163.0,160.0,4.5,0
94,Dalhousie University,3.618,158.0,156.6,3.9,4
95,DePaul University,3.5549999999999997,157.375,152.625,4.4375,4
96,Delft University Of Science And Technology,2.8,157.0,144.0,3.5,1
97,Denver University,4.0,160.0,155.0,5.0,4
98,Department Of Urban And Regional Planning,3.19,150.0,157.0,3.0,3
99,Des Moines University,3.0,159.0,144.0,5.0,1
100,Drew University,3.723333333333333,164.0,155.33333333333334,5.0,2
101,Drexel University,3.5013793103448267,158.58620689655172,159.58620689655172,4.0344827586206895,0
102,Duke University,3.651621621621621,161.36936936936937,161.8918918918919,4.387387387387387,0
103,Duquesne University,3.5114285714285716,160.0,155.28571428571428,5.2,4
104,Durham University,3.93,163.0,156.0,4.5,2
105,East Carolina University,3.6229411764705874,154.94117647058823,154.11764705882354,4.088235294117647,4
106,East Stroudsburg University,3.852222222222222,153.88888888888889,149.44444444444446,4.277777777777778,1
107,East Stroudsburg University Of Pennsylvania,3.92,159.0,149.0,3.5,4
108,East Tennessee State University,3.636923076923077,152.07692307692307,152.23076923076923,4.384615384615385,1
109,Eastern Illinois University,3.6056363636363638,152.8181818181818,150.63636363636363,4.363636363636363,1
110,Eastern Kentucky University,3.66125,155.125,149.375,4.25,1
111,"Eastern Ky Universty, Murray State, App State",3.6,156.0,147.0,4.0,1
112,Eastern Michigan University,3.640909090909091,154.63636363636363,150.3030303030303,4.287878787878788,1
113,Eastern New Mexico University,3.4581818181818176,151.63636363636363,149.36363636363637,4.2727272727272725,1
114,Eastern Washington University,3.715833333333333,158.16666666666666,153.5,4.333333333333333,4
115,Edinboro University,3.563076923076923,152.46153846153845,148.3846153846154,4.3076923076923075,1
116,Edinburgh University,3.25,144.0,152.0,3.0,1
117,Eindhoven University Of Technology,3.3,143.0,163.0,3.5,3
118,Embry-Riddle Aeronautical University,3.73,168.0,141.0,4.5,2
119,Emory University,3.5372972972972963,160.40540540540542,159.6216216216216,4.297297297297297,0
120,Emporia State University,3.65,154.0,153.0,4.0,4
121,Erasmus Mundus,3.5,143.0,164.0,3.0,3
122,Erasmus University Rotterdam,3.23,164.0,159.0,3.5,2
123,Fairfield University,3.3,161.0,150.0,4.5,4
124,Fairleigh Dickinson University,3.285,148.5,144.0,4.5,1
125,Fitchburg State University,3.56,152.0,156.0,4.5,4
126,Florida Atlantic University,3.628,156.1,153.8,4.3,4
127,Florida Atlantic University (FAU),3.3683333333333336,154.83333333333334,151.5,4.416666666666667,4
128,Florida Gulf Coast University,3.27,151.33333333333334,149.33333333333334,4.666666666666667,1
129,Florida International University (FIU),3.48,154.85714285714286,151.14285714285714,4.071428571428571,4
130,Florida State University (FSU),3.661303030303031,156.71212121212122,152.21212121212122,4.378787878787879,4
131,Fontbonne University,3.8328571428571427,153.14285714285714,151.0,4.357142857142857,1
132,"Ford School, University Of Michigan",3.7,154.0,146.0,4.0,1
133,Fordham University,3.6787499999999995,162.125,155.66666666666666,4.875,2
134,Fort Hays State University,3.6339999999999995,157.0,152.2,3.8,4
135,Francis Marion University,3.78,153.0,146.0,4.5,1
136,Gallaudet University,3.7490909090909095,157.45454545454547,152.27272727272728,4.454545454545454,4
137,George Mason University (GMU),3.434864864864865,156.32432432432432,155.54054054054055,4.256756756756757,4
138,George Mason University School Of Public Policy,3.14,170.0,163.0,4.5,0
139,George Washington University (GWU),3.600516431924881,160.52582159624413,156.68075117370893,4.44131455399061,2
140,George Washington University - Trachtenberg,3.1,163.0,167.0,5.0,0
141,George Washington University Trachtenberg (TSPPPA),3.69,155.0,153.0,4.5,4
142,Georgetown University,3.628573643410851,162.70542635658916,157.51937984496124,4.689922480620155,2
143,Georgia Institute Of Technology (GTech),3.9,156.0,166.0,4.0,0
144,Georgia Regents University,3.96,166.0,160.0,4.5,2
145,Georgia Southern University,3.46,149.0,148.0,3.5,1
146,Georgia State University (GSU),3.6481481481481493,158.42592592592592,155.11111111111111,4.537037037037037,4
147,"Gerald R. Ford School Of Public Policy, The University Of Michigan",3.4,150.0,166.0,3.5,3
148,Governors State University,3.774,151.2,150.8,4.3,1
149,Graduate Theological Union,3.34,164.0,162.5,5.0,0
150,Grand Valley State University,3.528,152.66666666666666,149.46666666666667,4.266666666666667,1
151,Hampton University,3.6149999999999998,148.75,145.0,4.625,1
152,Harding University,3.58,150.5,148.0,4.5,1
153,Harvard University,3.70703125,161.90625,161.5625,4.6328125,0
154,Hofstra University,3.6582142857142856,154.32142857142858,150.92857142857142,4.25,1
155,Hong Kong University (HKU),3.6149999999999998,160.25,153.75,3.875,4
156,Howard University,3.7024999999999997,150.0,152.25,4.375,1
157,Humboldt State University,3.38,155.25,153.5,3.75,4
158,"Humboldt-Universitt Zu Berlin, School Of Business And Economics",3.87,154.0,165.0,4.0,3
159,Hunter College,3.7,155.0,154.0,3.5,4
160,Idaho State University,3.582105263157895,159.10526315789474,153.21052631578948,4.394736842105263,4
161,Illinois State University,3.6932,153.77142857142857,151.34285714285716,4.3,1
162,Indiana State University,3.7300000000000004,154.0,149.75,3.75,1
163,Indiana University - Kelley School Of Business,3.86,160.0,165.0,4.5,0
164,Indiana University - Purdue University Indianapolis (IUPUI),3.395,159.375,156.875,4.4375,4
165,Indiana University Of Pennsylvania,3.714444444444444,153.33333333333334,151.0,4.0,1
166,Indiana University SPEA,3.676666666666667,161.33333333333334,158.33333333333334,5.0,2
167,Indiana University School Of Public And Environmental Affairs,3.4,160.0,165.0,4.5,0
168,"Indiana University, Bloomington",3.7052592592592606,159.4148148148148,156.86666666666667,4.522222222222222,4
169,Iowa State University (ISU),3.5779166666666664,154.29166666666666,162.54166666666666,3.875,3
170,Izmir University Of Economics,4.0,160.0,170.0,5.5,0
171,Jackson State University,3.0349999999999997,152.5,150.5,4.125,1
172,Jacksonville University,3.67,155.5,154.0,4.25,4
173,James Madision University,3.88,167.0,149.0,4.5,2
174,James Madison University,3.717916666666666,157.0,153.45833333333334,4.391666666666667,4
175,John Carroll University,3.2,152.0,148.0,4.0,1
176,Johns Hopkins University (JHU),3.653898305084746,160.5593220338983,162.32203389830508,4.149152542372882,0
177,Johns Hopkins University School Of Advanced International Studies (SAIS),3.72,165.0,170.0,4.5,0
178,"Johns Hopkins University, School Of Advanced International Studies, Bologna Center",3.17,158.0,157.0,4.5,4
179,KENNESAW STATE UNIVERSITY,3.43,135.0,146.0,3.0,1
180,KFUPM,3.88,144.0,161.0,3.0,3
181,Kamla Raheja Vidyanidhi Institute Of Architecture (KRVIA),4.0,155.0,159.0,3.5,4
182,Kansas State University,3.573333333333333,156.77777777777777,157.77777777777777,4.222222222222222,4
183,Kansas University,3.825,155.0,153.0,4.0,4
